日/月,1,2,3,4,5,6,7,8,9,10,11,12
01,14.5 ,8.5 ,18.3 ,17.0 ,22.8 ,25.9 ,25.7 ,29.4 ,26.0 ,20.4 ,22.3 ,18.0 
02,16.4 ,13.1 ,16.0 ,16.6 ,24.2 ,24.8 ,24.6 ,27.0 ,27.0 ,24.1 ,22.3 ,17.8 
03,17.7 ,14.1 ,16.8 ,17.9 ,24.6 ,26.3 ,24.9 ,25.5 ,25.5 ,24.0 ,18.7 ,15.9 
04,16.0 ,16.0 ,15.0 ,17.2 ,26.3 ,26.3 ,27.4 ,25.1 ,26.0 ,25.4 ,18.7 ,16.3 
05,19.4 ,15.3 ,13.8 ,16.0 ,26.2 ,27.7 ,27.3 ,25.8 ,25.7 ,22.4 ,21.4 ,16.1 
06,17.7 ,15.9 ,14.8 ,17.3 ,23.0 ,27.2 ,27.3 ,27.2 ,24.6 ,22.4 ,22.5 ,18.0 
07,18.6 ,15.5 ,17.8 ,15.8 ,22.7 ,25.1 ,28.4 ,27.4 ,23.1 ,23.0 ,22.8 ,19.4 
08,16.5 ,15.5 ,20.1 ,16.8 ,24.8 ,25.0 ,27.8 ,28.1 ,26.5 ,22.1 ,19.7 ,18.0 
09,16.6 ,14.1 ,20.3 ,17.8 ,25.7 ,25.4 ,27.9 ,27.8 ,26.5 ,21.6 ,19.6 ,17.6 
10,18.3 ,13.4 ,15.9 ,19.0 ,25.2 ,25.8 ,28.4 ,27.0 ,25.7 ,22.3 ,19.0 ,20.1 
11,17.5 ,15.4 ,16.3 ,18.1 ,23.7 ,27.4 ,28.0 ,25.9 ,26.1 ,23.8 ,20.6 ,19.7 
12,14.4 ,15.3 ,18.1 ,12.1 ,22.3 ,27.4 ,27.7 ,25.9 ,26.7 ,24.5 ,20.9 ,17.9 
13,13.9 ,18.1 ,18.0 ,10.3 ,23.0 ,27.7 ,28.1 ,26.7 ,26.2 ,23.8 ,20.9 ,17.5 
14,15.8 ,18.5 ,15.4 ,14.5 ,24.3 ,25.7 ,27.9 ,25.8 ,26.2 ,23.4 ,20.6 ,15.7 
15,16.4 ,19.4 ,13.0 ,17.7 ,24.9 ,25.4 ,29.3 ,26.5 ,26.6 ,24.6 ,21.8 ,15.0 
16,17.3 ,10.4 ,15.0 ,15.8 ,24.0 ,27.1 ,28.4 ,26.5 ,26.9 ,23.4 ,22.5 ,14.8 
17,13.5 ,10.1 ,17.8 ,18.8 ,23.8 ,27.4 ,27.4 ,28.3 ,27.3 ,22.3 ,24.1 ,14.7 
18,13.0 ,10.0 ,17.9 ,20.4 ,23.5 ,28.0 ,27.8 ,28.9 ,27.4 ,21.2 ,22.3 ,15.9 
19,14.2 ,13.6 ,18.9 ,22.7 ,21.8 ,28.1 ,27.0 ,27.8 ,27.9 ,21.5 ,22.9 ,15.4 
20,13.7 ,14.5 ,19.3 ,23.0 ,23.0 ,28.6 ,25.4 ,27.6 ,25.4 ,22.4 ,23.7 ,15.2 
21,14.7 ,17.7 ,20.4 ,20.7 ,23.2 ,28.2 ,26.2 ,28.7 ,25.8 ,22.9 ,22.7 ,14.4 
22,15.6 ,17.2 ,21.5 ,18.2 ,23.3 ,27.5 ,27.3 ,25.9 ,24.3 ,19.6 ,21.4 ,16.0 
23,17.2 ,17.1 ,19.0 ,15.8 ,23.0 ,28.2 ,27.4 ,25.9 ,24.3 ,18.7 ,20.8 ,18.6 
24,19.2 ,19.7 ,19.4 ,15.6 ,23.7 ,28.3 ,26.8 ,27.8 ,22.6 ,21.1 ,21.4 ,17.8 
25,18.6 ,17.8 ,20.5 ,17.5 ,24.8 ,28.1 ,27.4 ,28.6 ,21.6 ,21.9 ,22.2 ,16.3 
26,15.7 ,19.1 ,22.1 ,19.1 ,25.5 ,25.5 ,25.4 ,28.2 ,21.7 ,22.8 ,22.9 ,17.1 
27,13.5 ,18.7 ,21.4 ,21.0 ,23.1 ,25.9 ,26.0 ,25.4 ,20.9 ,23.5 ,20.7 ,17.4 
28,11.6 ,19.4 ,14.9 ,20.0 ,22.2 ,26.3 ,25.9 ,25.5 ,21.9 ,24.2 ,18.5 ,17.8 
29,10.0 ,18.1 ,14.8 ,21.7 ,23.3 ,27.3 ,27.2 ,26.9 ,22.0 ,23.2 ,17.9 ,19.0 
30,8.8 ,-- ,18.6 ,20.7 ,23.8 ,27.6 ,29.3 ,28.1 ,20.5 ,21.4 ,18.1 ,10.3 
31,7.1 ,-- ,18.4 ,-- ,25.8 ,-- ,30.2 ,26.7 ,-- ,20.3 ,-- ,7.6 
極端值,7.1 ,8.5 ,13.0 ,10.3 ,21.8 ,24.8 ,24.6 ,25.1 ,20.5 ,18.7 ,17.9 ,7.6 
