日/月,1,2,3,4,5,6,7,8,9,10,11,12
01,11.0 ,14.8 ,16.9 ,23.8 ,20.7 ,23.3 ,28.4 ,25.7 ,27.9 ,25.2 ,22.6 ,14.9 
02,12.7 ,14.6 ,14.3 ,23.6 ,21.5 ,23.9 ,28.7 ,26.4 ,27.5 ,25.9 ,22.4 ,14.4 
03,14.6 ,16.2 ,14.6 ,22.2 ,25.1 ,25.7 ,27.5 ,26.2 ,26.8 ,26.6 ,21.7 ,12.8 
04,16.0 ,15.8 ,16.2 ,17.4 ,24.6 ,24.8 ,28.6 ,26.0 ,26.4 ,28.2 ,21.8 ,12.8 
05,14.9 ,18.3 ,17.0 ,16.4 ,19.8 ,21.8 ,28.6 ,26.0 ,25.6 ,27.4 ,21.3 ,16.4 
06,14.0 ,16.2 ,15.6 ,16.4 ,20.0 ,22.1 ,27.9 ,25.2 ,27.9 ,27.4 ,23.4 ,17.0 
07,9.6 ,16.8 ,16.9 ,17.3 ,23.4 ,23.8 ,27.7 ,24.7 ,26.5 ,28.0 ,22.8 ,17.8 
08,7.3 ,16.6 ,17.3 ,16.5 ,24.9 ,24.7 ,27.7 ,24.5 ,27.6 ,28.3 ,16.4 ,17.9 
09,8.3 ,15.5 ,17.7 ,16.1 ,23.6 ,25.9 ,27.8 ,27.0 ,28.2 ,27.3 ,16.6 ,19.8 
10,10.1 ,17.9 ,17.5 ,16.8 ,25.3 ,25.4 ,28.4 ,25.9 ,28.4 ,27.4 ,15.0 ,20.4 
11,9.5 ,17.2 ,18.7 ,19.3 ,25.8 ,25.0 ,27.4 ,26.2 ,27.0 ,25.5 ,13.9 ,19.8 
12,8.7 ,17.4 ,18.5 ,21.0 ,26.1 ,27.0 ,28.2 ,26.3 ,25.0 ,25.5 ,17.4 ,18.1 
13,6.8 ,17.9 ,17.7 ,20.4 ,26.7 ,26.6 ,25.0 ,26.0 ,25.6 ,25.9 ,16.9 ,17.1 
14,9.3 ,16.2 ,18.4 ,17.7 ,27.0 ,27.1 ,26.1 ,25.4 ,27.1 ,26.3 ,17.3 ,17.5 
15,11.1 ,14.8 ,18.0 ,18.9 ,26.9 ,28.3 ,28.0 ,25.9 ,25.1 ,26.3 ,17.9 ,18.4 
16,14.3 ,18.0 ,19.1 ,19.1 ,27.3 ,28.7 ,28.9 ,26.9 ,24.8 ,23.3 ,21.6 ,18.8 
17,12.2 ,14.0 ,20.3 ,20.1 ,27.4 ,28.0 ,28.3 ,27.1 ,26.4 ,20.6 ,22.6 ,14.5 
18,12.8 ,12.2 ,19.5 ,19.6 ,27.5 ,29.4 ,27.9 ,26.5 ,26.2 ,20.2 ,20.2 ,14.3 
19,13.8 ,12.1 ,19.9 ,19.5 ,26.6 ,29.6 ,28.6 ,24.3 ,27.0 ,22.3 ,19.4 ,15.2 
20,17.4 ,11.9 ,19.1 ,20.8 ,26.0 ,28.5 ,28.0 ,25.1 ,27.2 ,22.6 ,21.4 ,17.0 
21,19.5 ,13.2 ,14.8 ,22.2 ,26.7 ,28.8 ,25.7 ,26.2 ,27.3 ,20.0 ,20.7 ,17.5 
22,20.6 ,14.4 ,11.9 ,23.5 ,26.4 ,24.4 ,26.3 ,26.0 ,26.3 ,19.1 ,15.5 ,17.1 
23,19.0 ,17.3 ,15.1 ,22.8 ,27.3 ,23.4 ,25.8 ,27.5 ,26.7 ,19.2 ,14.4 ,17.4 
24,16.7 ,19.9 ,14.4 ,22.9 ,24.4 ,23.7 ,24.9 ,26.2 ,27.1 ,19.5 ,16.1 ,18.7 
25,16.5 ,19.9 ,12.2 ,21.7 ,24.4 ,25.4 ,26.3 ,26.3 ,26.8 ,20.3 ,19.0 ,14.0 
26,15.0 ,19.0 ,18.3 ,21.6 ,25.8 ,24.9 ,28.2 ,25.8 ,25.9 ,21.0 ,17.2 ,13.0 
27,17.2 ,16.1 ,18.4 ,22.1 ,26.4 ,26.6 ,26.7 ,26.9 ,26.9 ,22.5 ,16.9 ,12.3 
28,13.6 ,16.1 ,20.4 ,21.2 ,27.8 ,26.9 ,27.2 ,27.5 ,26.1 ,21.5 ,19.6 ,14.0 
29,14.5 ,-- ,21.5 ,17.2 ,23.9 ,28.7 ,27.8 ,28.8 ,23.7 ,20.8 ,21.3 ,15.8 
30,14.6 ,-- ,22.0 ,15.9 ,25.0 ,27.9 ,27.0 ,28.8 ,24.5 ,20.9 ,16.9 ,15.5 
31,14.3 ,-- ,21.1 ,-- ,23.4 ,-- ,25.6 ,29.0 ,-- ,21.9 ,-- ,14.9 
極端值,6.8 ,11.9 ,11.9 ,15.9 ,19.8 ,21.8 ,24.9 ,24.3 ,23.7 ,19.1 ,13.9 ,12.3 
