
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","19.9 / 2017/01/01 23:59:59","14.9 / 2017/02/01 22:29:00","14.0 / 2017/03/01 05:38:00","12.8 / 2017/04/01 05:13:00","20.0 / 2017/05/01 05:44:00","26.6 / 2017/06/01 05:04:00","25.6 / 2017/07/01 20:20:00","26.5 / 2017/08/01 04:27:00","25.7 / 2017/09/01 22:01:00","28.3 / 2017/10/01 04:41:00","20.5 / 2017/11/01 05:27:00","18.8 / 2017/12/01 18:15:00"
"02","17.8 / 2017/01/02 06:09:00","14.6 / 2017/02/02 04:44:00","12.9 / 2017/03/02 22:16:00","11.5 / 2017/04/02 04:53:00","22.4 / 2017/05/02 06:27:00","23.9 / 2017/06/02 23:44:00","25.2 / 2017/07/02 02:58:00","25.4 / 2017/08/02 15:26:00","24.7 / 2017/09/02 21:58:00","27.8 / 2017/10/02 04:44:00","21.9 / 2017/11/02 05:07:00","18.2 / 2017/12/02 04:35:00"
"03","19.8 / 2017/01/03 06:35:00","15.8 / 2017/02/03 00:51:00","13.3 / 2017/03/03 00:01:00","14.3 / 2017/04/03 05:29:00","23.2 / 2017/05/03 06:13:00","23.6 / 2017/06/03 20:02:00","24.2 / 2017/07/03 14:44:00","26.5 / 2017/08/03 00:37:00","24.8 / 2017/09/03 00:01:00","27.0 / 2017/10/03 22:52:00","21.2 / 2017/11/03 23:23:00","19.4 / 2017/12/03 00:01:00"
"04","20.4 / 2017/01/04 00:12:00","17.4 / 2017/02/04 06:31:00","15.5 / 2017/03/04 06:20:00","17.3 / 2017/04/04 05:17:00","23.4 / 2017/05/04 02:42:00","23.6 / 2017/06/04 04:34:00","26.0 / 2017/07/04 20:12:00","26.7 / 2017/08/04 05:13:00","24.4 / 2017/09/04 04:13:00","24.8 / 2017/10/04 06:51:00","17.7 / 2017/11/04 18:52:00","18.5 / 2017/12/04 23:28:00"
"05","19.2 / 2017/01/05 04:56:00","17.5 / 2017/02/05 02:58:00","15.5 / 2017/03/05 04:33:00","17.7 / 2017/04/05 05:45:00","25.0 / 2017/05/05 05:42:00","24.8 / 2017/06/05 00:02:00","25.6 / 2017/07/05 03:42:00","26.7 / 2017/08/05 04:37:00","26.7 / 2017/09/05 05:14:00","25.4 / 2017/10/05 00:07:00","18.9 / 2017/11/05 05:27:00","15.4 / 2017/12/05 07:04:00"
"06","20.2 / 2017/01/06 03:07:00","16.7 / 2017/02/06 21:42:00","15.0 / 2017/03/06 23:10:00","20.8 / 2017/04/06 05:03:00","22.5 / 2017/05/06 23:20:00","26.0 / 2017/06/06 04:59:00","27.3 / 2017/07/06 05:24:00","28.9 / 2017/08/06 03:24:00","29.3 / 2017/09/06 00:01:00","26.7 / 2017/10/06 20:07:00","22.0 / 2017/11/06 00:01:00","15.2 / 2017/12/06 06:32:00"
"07","21.2 / 2017/01/07 06:30:00","16.7 / 2017/02/07 06:36:00","12.0 / 2017/03/07 19:03:00","21.1 / 2017/04/07 04:39:00","22.4 / 2017/05/07 01:03:00","26.1 / 2017/06/07 05:26:00","24.7 / 2017/07/07 18:23:00","29.6 / 2017/08/07 05:36:00","29.5 / 2017/09/07 05:03:00","25.9 / 2017/10/07 17:34:00","24.3 / 2017/11/07 23:50:00","16.4 / 2017/12/07 03:55:00"
"08","18.2 / 2017/01/08 23:59:59","15.1 / 2017/02/08 23:55:00","12.7 / 2017/03/08 00:01:00","21.0 / 2017/04/08 04:45:00","22.7 / 2017/05/08 04:32:00","27.0 / 2017/06/08 05:27:00","24.8 / 2017/07/08 20:40:00","29.5 / 2017/08/08 05:16:00","26.7 / 2017/09/08 15:13:00","26.4 / 2017/10/08 06:04:00","22.5 / 2017/11/08 23:08:00","13.6 / 2017/12/08 21:50:00"
"09","16.8 / 2017/01/09 16:54:00","10.4 / 2017/02/09 19:39:00","14.5 / 2017/03/09 00:01:00","23.0 / 2017/04/09 05:52:00","23.6 / 2017/05/09 07:39:00","26.5 / 2017/06/09 05:28:00","25.7 / 2017/07/09 03:17:00","29.4 / 2017/08/09 02:33:00","27.1 / 2017/09/09 01:23:00","27.8 / 2017/10/09 00:13:00","21.9 / 2017/11/09 04:14:00","13.6 / 2017/12/09 00:22:00"
"10","16.9 / 2017/01/10 00:29:00","10.4 / 2017/02/10 03:30:00","16.6 / 2017/03/10 01:28:00","23.6 / 2017/04/10 06:17:00","23.3 / 2017/05/10 04:44:00","26.5 / 2017/06/10 06:00:00","26.3 / 2017/07/10 04:53:00","29.0 / 2017/08/10 03:44:00","27.0 / 2017/09/10 05:30:00","27.4 / 2017/10/10 06:11:00","23.8 / 2017/11/10 06:16:00","12.7 / 2017/12/10 04:41:00"
"11","18.3 / 2017/01/11 02:20:00","11.5 / 2017/02/11 23:03:00","16.4 / 2017/03/11 01:52:00","17.5 / 2017/04/11 22:19:00","25.8 / 2017/05/11 05:18:00","25.9 / 2017/06/11 20:04:00","26.9 / 2017/07/11 05:05:00","28.4 / 2017/08/11 05:45:00","26.2 / 2017/09/11 05:33:00","24.7 / 2017/10/11 23:50:00","20.5 / 2017/11/11 22:34:00","17.6 / 2017/12/11 04:18:00"
"12","18.3 / 2017/01/12 23:41:00","12.3 / 2017/02/12 00:01:00","18.6 / 2017/03/12 06:20:00","17.0 / 2017/04/12 15:56:00","24.6 / 2017/05/12 04:53:00","24.7 / 2017/06/12 17:25:00","26.9 / 2017/07/12 05:08:00","28.9 / 2017/08/12 03:35:00","26.4 / 2017/09/12 23:41:00","24.6 / 2017/10/12 00:39:00","20.3 / 2017/11/12 01:35:00","16.3 / 2017/12/12 05:09:00"
"13","14.1 / 2017/01/13 23:07:00","14.1 / 2017/02/13 01:11:00","14.9 / 2017/03/13 23:59:00","16.7 / 2017/04/13 03:16:00","24.1 / 2017/05/13 22:51:00","24.9 / 2017/06/13 16:28:00","27.1 / 2017/07/13 04:52:00","28.9 / 2017/08/13 05:27:00","25.8 / 2017/09/13 04:01:00","24.0 / 2017/10/13 06:28:00","21.2 / 2017/11/13 04:33:00","16.2 / 2017/12/13 20:54:00"
"14","12.4 / 2017/01/14 07:34:00","15.0 / 2017/02/14 06:37:00","13.1 / 2017/03/14 05:20:00","18.5 / 2017/04/14 00:01:00","23.5 / 2017/05/14 05:12:00","23.0 / 2017/06/14 23:50:00","27.5 / 2017/07/14 05:10:00","28.9 / 2017/08/14 05:39:00","24.0 / 2017/09/14 07:13:00","25.4 / 2017/10/14 00:05:00","22.0 / 2017/11/14 19:44:00","16.2 / 2017/12/14 00:01:00"
"15","13.3 / 2017/01/15 05:32:00","15.6 / 2017/02/15 01:47:00","14.6 / 2017/03/15 00:18:00","19.2 / 2017/04/15 04:14:00","21.6 / 2017/05/15 23:51:00","22.0 / 2017/06/15 07:58:00","27.6 / 2017/07/15 05:14:00","28.3 / 2017/08/15 05:33:00","26.2 / 2017/09/15 01:51:00","25.4 / 2017/10/15 23:32:00","22.1 / 2017/11/15 05:26:00","18.6 / 2017/12/15 05:54:00"
"16","13.5 / 2017/01/16 06:29:00","14.2 / 2017/02/16 06:47:00","14.9 / 2017/03/16 04:32:00","22.7 / 2017/04/16 05:36:00","20.4 / 2017/05/16 23:50:00","22.2 / 2017/06/16 00:45:00","27.6 / 2017/07/16 06:05:00","28.2 / 2017/08/16 05:25:00","26.2 / 2017/09/16 23:59:00","24.4 / 2017/10/16 05:29:00","23.0 / 2017/11/16 05:04:00","13.8 / 2017/12/16 23:41:00"
"17","16.0 / 2017/01/17 04:07:00","15.4 / 2017/02/17 06:14:00","15.7 / 2017/03/17 01:12:00","23.1 / 2017/04/17 04:57:00","20.2 / 2017/05/17 05:17:00","22.2 / 2017/06/17 21:45:00","27.8 / 2017/07/17 05:27:00","28.3 / 2017/08/17 05:05:00","24.8 / 2017/09/17 05:34:00","25.3 / 2017/10/17 07:05:00","23.5 / 2017/11/17 06:27:00","12.8 / 2017/12/17 05:22:00"
"18","18.0 / 2017/01/18 02:15:00","18.0 / 2017/02/18 23:55:00","17.4 / 2017/03/18 04:57:00","25.5 / 2017/04/18 07:15:00","23.2 / 2017/05/18 00:01:00","22.6 / 2017/06/18 00:01:00","28.2 / 2017/07/18 05:50:00","27.8 / 2017/08/18 06:00:00","23.2 / 2017/09/18 05:17:00","23.9 / 2017/10/18 21:09:00","17.0 / 2017/11/18 23:58:00","13.7 / 2017/12/18 05:53:00"
"19","18.0 / 2017/01/19 23:46:00","17.7 / 2017/02/19 02:23:00","17.8 / 2017/03/19 07:35:00","24.0 / 2017/04/19 16:09:00","21.9 / 2017/05/19 20:59:00","23.6 / 2017/06/19 00:01:00","27.6 / 2017/07/19 05:47:00","27.6 / 2017/08/19 05:52:00","25.4 / 2017/09/19 05:56:00","22.8 / 2017/10/19 02:56:00","16.4 / 2017/11/19 06:11:00","13.5 / 2017/12/19 08:49:00"
"20","12.2 / 2017/01/20 15:19:00","17.2 / 2017/02/20 05:54:00","18.5 / 2017/03/20 05:56:00","22.8 / 2017/04/20 04:29:00","21.5 / 2017/05/20 05:05:00","24.6 / 2017/06/20 04:59:00","27.8 / 2017/07/20 05:35:00","28.2 / 2017/08/20 05:41:00","27.4 / 2017/09/20 05:45:00","21.6 / 2017/10/20 23:55:00","18.1 / 2017/11/20 00:02:00","14.7 / 2017/12/20 03:08:00"
"21","12.4 / 2017/01/21 02:31:00","16.6 / 2017/02/21 06:22:00","16.4 / 2017/03/21 18:44:00","18.6 / 2017/04/21 23:01:00","23.8 / 2017/05/21 20:42:00","26.5 / 2017/06/21 03:23:00","27.6 / 2017/07/21 05:25:00","27.6 / 2017/08/21 05:19:00","27.9 / 2017/09/21 06:21:00","20.4 / 2017/10/21 03:27:00","18.6 / 2017/11/21 00:01:00","14.7 / 2017/12/21 04:46:00"
"22","13.7 / 2017/01/22 22:43:00","16.0 / 2017/02/22 06:54:00","17.3 / 2017/03/22 02:51:00","15.9 / 2017/04/22 22:51:00","24.1 / 2017/05/22 01:09:00","25.5 / 2017/06/22 04:48:00","28.0 / 2017/07/22 05:01:00","28.0 / 2017/08/22 01:16:00","28.0 / 2017/09/22 04:22:00","19.4 / 2017/10/22 21:44:00","17.8 / 2017/11/22 23:45:00","16.5 / 2017/12/22 06:19:00"
"23","13.6 / 2017/01/23 00:07:00","12.7 / 2017/02/23 22:08:00","16.9 / 2017/03/23 01:10:00","16.7 / 2017/04/23 00:03:00","24.7 / 2017/05/23 05:16:00","26.5 / 2017/06/23 04:27:00","28.0 / 2017/07/23 18:02:00","27.5 / 2017/08/23 18:16:00","29.0 / 2017/09/23 05:49:00","19.1 / 2017/10/23 03:54:00","16.2 / 2017/11/23 05:04:00","16.9 / 2017/12/23 06:41:00"
"24","13.7 / 2017/01/24 19:39:00","11.8 / 2017/02/24 16:57:00","17.9 / 2017/03/24 05:24:00","18.9 / 2017/04/24 05:13:00","22.7 / 2017/05/24 21:14:00","26.9 / 2017/06/24 05:13:00","28.1 / 2017/07/24 00:42:00","27.3 / 2017/08/24 04:54:00","28.9 / 2017/09/24 05:46:00","20.0 / 2017/10/24 03:41:00","17.5 / 2017/11/24 22:01:00","16.5 / 2017/12/24 04:32:00"
"25","13.7 / 2017/01/25 00:26:00","13.4 / 2017/02/25 00:05:00","13.8 / 2017/03/25 22:54:00","19.7 / 2017/04/25 05:21:00","21.9 / 2017/05/25 05:07:00","27.2 / 2017/06/25 05:13:00","28.0 / 2017/07/25 05:15:00","26.6 / 2017/08/25 05:34:00","27.1 / 2017/09/25 05:42:00","21.6 / 2017/10/25 00:15:00","17.6 / 2017/11/25 01:45:00","16.0 / 2017/12/25 06:52:00"
