
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.0","0.0","0.0","4.4","0.0","3.5","9.0","0.0","12.5","0.0","T","20.5"
"02","0.0","0.0","0.0","15.2","0.0","1.8","57.5","2.0","0.0","0.0","0.0","7.5"
"03","0.0","0.1","0.0","1.7","0.0","0.0","0.0","91.0","16.0","0.0","0.5","3.0"
"04","0.0","8.1","2.0","0.8","0.0","0.0","0.0","36.5","0.0","0.0","0.0","3.0"
"05","0.0","6.8","15.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.5"
"06","0.0","0.0","0.0","6.0","0.2","0.0","0.0","0.0","0.0","0.0","0.5","0.5"
"07","0.0","3.8","0.0","2.0","11.9","19.3","0.0","0.0","0.0","0.0","0.0","0.0"
"08","0.0","0.0","0.0","T","0.0","0.8","0.0","0.0","0.5","0.5","0.0","4.0"
"09","0.0","0.0","1.1","0.8","0.0","0.4","0.0","0.0","T","2.0","0.0","27.0"
"10","0.0","0.0","66.0","0.0","3.5","0.0","0.0","8.0","1.5","0.0","0.5","3.5"
"11","0.0","0.0","0.0","14.5","0.0","T","0.0","13.5","0.5","2.0","T","10.0"
"12","0.0","0.0","1.1","15.0","15.5","0.0","0.0","5.0","0.0","5.5","0.5","0.0"
"13","6.0","0.7","67.0","0.0","0.0","0.0","0.0","12.5","1.0","7.5","11.0","0.0"
"14","0.1","1.8","3.6","0.0","0.0","79.8","0.0","5.5","0.0","0.5","4.0","0.5"
"15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","12.0"
"16","0.1","8.0","0.0","0.0","13.0","0.0","0.0","0.0","T","2.0","0.0","12.0"
"17","2.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"18","0.0","0.0","0.4","0.0","18.6","0.0","0.0","0.0","7.0","T","0.0","1.0"
"19","2.0","0.0","6.0","0.0","31.0","0.0","13.5","0.0","0.0","0.0","0.0","T"
"20","0.0","0.0","0.0","0.0","2.7","0.0","4.0","0.0","2.0","0.0","0.0","1.5"
"21","0.0","0.0","0.0","T","47.0","0.0","1.0","0.0","0.0","1.0","0.5","3.0"
"22","0.0","0.3","0.6","1.3","77.5","0.0","0.0","22.5","0.0","0.5","0.0","0.5"
"23","0.0","0.0","2.0","16.1","21.4","0.0","T","8.5","0.0","3.0","0.0","19.5"
"24","0.4","0.0","0.4","7.5","0.0","0.0","0.0","0.0","23.0","0.0","0.0","5.0"
"25","0.7","0.0","0.6","0.0","0.0","0.0","6.0","0.0","2.5","0.0","0.0","0.5"
"26","24.5","0.0","0.0","0.2","3.5","8.1","38.5","0.0","2.5","0.0","0.0","0.0"
"27","2.1","0.0","30.1","1.4","17.0","0.0","3.5","95.5","39.5","0.0","0.0","1.0"
"28","0.5","0.0","47.5","0.0","120.0","4.2","0.5","2.5","16.5","0.0","1.0","3.0"
"29","T","0.0","0.0","0.0","23.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0"
"30","0.0","--","0.5","0.0","0.0","0.0","0.0","0.0","3.5","0.0","2.0","4.0"
"31","0.0","--","1.6","--","0.0","--","0.0","19.5","--","0.0","--","0.0"
"總和","38.6","29.6","245.5","87.9","405.8","117.9","133.5","322.5","129.5","25.5","21.5","145.0"
