
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","1.5","0.0","0.0","4.0","T","31.0","8.0","46.0","10.5","4.5","0.0","8.0"
"02","2.0","0.0","0.0","0.0","0.0","0.0","2.5","24.0","26.0","T","0.0","T"
"03","T","0.0","0.0","0.0","0.0","0.0","0.0","35.0","17.0","4.5","0.0","T"
"04","T","T","0.0","0.0","0.0","127.0","0.0","0.0","13.0","21.0","0.0","61.5"
"05","1.0","16.0","0.0","2.5","0.0","10.0","0.0","0.0","T","26.0","0.0","T"
"06","4.5","16.0","0.0","T","T","0.0","0.0","0.0","31.0","1.0","0.0","6.0"
"07","0.0","T","0.0","13.0","8.0","0.0","0.0","0.0","0.5","9.5","0.0","0.0"
"08","0.0","0.0","0.0","0.0","28.0","0.0","0.0","0.0","5.0","12.0","0.0","0.0"
"09","3.0","T","T","0.0","0.0","24.0","0.0","0.0","0.0","0.5","0.0","0.0"
"10","3.0","2.0","0.0","0.0","0.0","2.5","0.0","114.5","0.0","0.0","0.5","0.0"
"11","T","0.0","0.0","0.0","0.0","6.5","5.0","23.0","0.0","0.0","T","0.0"
"12","0.0","0.0","2.0","0.5","0.5","0.0","11.5","5.5","0.0","0.0","2.0","T"
"13","0.0","T","1.0","T","0.5","0.0","0.0","0.0","0.0","0.0","T","T"
"14","T","0.5","0.0","0.0","T","3.5","0.0","0.0","0.0","T","0.5","0.0"
"15","7.0","0.0","0.0","15.5","T","10.5","0.0","0.0","0.5","0.0","T","0.0"
"16","T","T","0.0","0.0","0.0","50.0","0.0","53.0","0.0","0.0","9.0","T"
"17","T","0.0","0.0","0.0","0.0","1.5","0.0","6.0","0.0","0.0","0.5","T"
"18","0.5","0.0","0.0","0.0","1.5","0.0","6.5","16.0","15.0","0.0","0.0","T"
"19","0.0","T","0.0","26.0","24.5","0.0","6.5","2.0","0.0","0.0","0.0","T"
"20","T","T","0.0","25.5","7.5","0.0","17.5","69.5","0.0","2.0","0.0","T"
"21","1.5","2.0","0.0","10.0","T","0.0","0.5","0.0","0.0","T","0.0","T"
"22","0.0","0.5","0.0","0.0","74.0","0.0","14.0","38.5","0.0","T","0.0","T"
"23","T","0.5","0.0","0.0","8.5","125.0","2.0","20.0","0.0","0.0","0.0","2.5"
"24","4.0","T","T","12.5","4.0","1.5","0.0","0.0","0.0","0.0","0.5","2.0"
"25","T","T","14.0","T","0.5","0.0","T","0.0","0.0","0.0","T","0.0"
"26","0.0","T","1.0","T","0.0","0.0","19.5","0.0","14.5","0.0","2.5","0.0"
"27","T","0.0","2.5","T","0.0","0.0","4.0","5.0","18.0","T","T","2.0"
"28","0.0","0.0","2.0","0.0","0.0","0.0","T","0.0","0.0","6.0","0.0","6.0"
"29","0.0","--","T","0.0","0.0","T","0.0","0.0","2.0","T","T","T"
"30","0.0","--","T","T","2.5","89.0","21.5","0.5","0.0","0.0","1.5","1.0"
"31","0.0","--","1.0","--","22.5","--","T","1.0","--","T","--","0.0"
"總和","28.0","37.5","23.5","109.5","182.5","482.0","119.0","459.5","153.0","87.0","17.0","89.0"
