
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","14.9 / 2022/01/01 00:04:00","15.6 / 2022/02/01 02:17:00","18.2 / 2022/03/01 03:35:00","15.3 / 2022/04/01 19:40:00","16.3 / 2022/05/01 23:24:00","24.3 / 2022/06/01 05:13:00","28.4 / 2022/07/01 05:13:00","25.4 / 2022/08/01 13:18:00","25.5 / 2022/09/01 20:36:00","26.6 / 2022/10/01 05:31:00","19.8 / 2022/11/01 00:35:00","17.3 / 2022/12/01 00:01:00"
"02","14.7 / 2022/01/02 02:09:00","15.8 / 2022/02/02 02:29:00","17.9 / 2022/03/02 22:57:00","13.6 / 2022/04/02 20:44:00","15.1 / 2022/05/02 02:28:00","27.0 / 2022/06/02 03:50:00","25.7 / 2022/07/02 11:52:00","25.1 / 2022/08/02 09:42:00","25.1 / 2022/09/02 02:37:00","26.3 / 2022/10/02 05:58:00","20.2 / 2022/11/02 00:01:00","17.9 / 2022/12/02 01:12:00"
"03","16.5 / 2022/01/03 04:28:00","15.4 / 2022/02/03 23:31:00","17.9 / 2022/03/03 00:01:00","13.2 / 2022/04/03 01:22:00","16.0 / 2022/05/03 00:01:00","26.1 / 2022/06/03 05:08:00","27.2 / 2022/07/03 01:26:00","25.4 / 2022/08/03 05:11:00","26.1 / 2022/09/03 05:20:00","27.3 / 2022/10/03 05:57:00","21.5 / 2022/11/03 00:11:00","19.6 / 2022/12/03 05:24:00"
"04","17.1 / 2022/01/04 06:13:00","13.3 / 2022/02/04 23:02:00","18.2 / 2022/03/04 05:53:00","16.6 / 2022/04/04 00:16:00","19.8 / 2022/05/04 03:01:00","25.9 / 2022/06/04 05:30:00","26.5 / 2022/07/04 16:39:00","26.2 / 2022/08/04 15:30:00","25.5 / 2022/09/04 11:44:00","26.1 / 2022/10/04 05:28:00","19.4 / 2022/11/04 23:47:00","21.1 / 2022/12/04 23:24:00"
"05","18.2 / 2022/01/05 04:56:00","13.1 / 2022/02/05 04:15:00","19.5 / 2022/03/05 23:49:00","18.5 / 2022/04/05 05:54:00","22.7 / 2022/05/05 00:01:00","25.9 / 2022/06/05 04:53:00","25.6 / 2022/07/05 03:35:00","27.0 / 2022/08/05 03:40:00","26.5 / 2022/09/05 02:28:00","24.4 / 2022/10/05 23:54:00","18.9 / 2022/11/05 04:24:00","16.9 / 2022/12/05 23:57:00"
"06","14.6 / 2022/01/06 22:45:00","13.4 / 2022/02/06 08:30:00","17.3 / 2022/03/06 21:46:00","18.0 / 2022/04/06 05:51:00","22.8 / 2022/05/06 03:30:00","23.8 / 2022/06/06 22:44:00","25.2 / 2022/07/06 05:16:00","26.8 / 2022/08/06 05:31:00","24.6 / 2022/09/06 08:53:00","24.2 / 2022/10/06 01:02:00","19.0 / 2022/11/06 01:32:00","16.3 / 2022/12/06 02:59:00"
"07","14.5 / 2022/01/07 01:33:00","14.3 / 2022/02/07 17:28:00","12.7 / 2022/03/07 21:19:00","20.4 / 2022/04/07 05:41:00","22.4 / 2022/05/07 05:05:00","20.2 / 2022/06/07 13:55:00","26.8 / 2022/07/07 14:54:00","27.8 / 2022/08/07 05:13:00","25.9 / 2022/09/07 01:31:00","23.9 / 2022/10/07 23:00:00","21.1 / 2022/11/07 00:05:00","17.8 / 2022/12/07 22:52:00"
"08","15.3 / 2022/01/08 04:25:00","14.4 / 2022/02/08 00:09:00","11.9 / 2022/03/08 04:12:00","20.3 / 2022/04/08 01:46:00","23.0 / 2022/05/08 05:05:00","21.7 / 2022/06/08 19:16:00","26.3 / 2022/07/08 05:24:00","27.5 / 2022/08/08 05:57:00","23.3 / 2022/09/08 05:27:00","22.9 / 2022/10/08 18:28:00","21.7 / 2022/11/08 05:16:00","17.8 / 2022/12/08 00:04:00"
"09","16.6 / 2022/01/09 01:08:00","15.8 / 2022/02/09 02:43:00","13.4 / 2022/03/09 05:34:00","20.1 / 2022/04/09 05:42:00","23.8 / 2022/05/09 23:45:00","21.8 / 2022/06/09 00:08:00","27.4 / 2022/07/09 04:11:00","27.5 / 2022/08/09 05:58:00","23.8 / 2022/09/09 05:11:00","22.1 / 2022/10/09 23:13:00","23.3 / 2022/11/09 01:56:00","18.1 / 2022/12/09 06:36:00"
"10","16.2 / 2022/01/10 06:40:00","16.3 / 2022/02/10 06:07:00","18.3 / 2022/03/10 07:22:00","21.1 / 2022/04/10 04:46:00","23.6 / 2022/05/10 00:14:00","23.9 / 2022/06/10 05:14:00","28.8 / 2022/07/10 05:11:00","28.1 / 2022/08/10 05:43:00","23.1 / 2022/09/10 05:50:00","20.3 / 2022/10/10 10:59:00","22.6 / 2022/11/10 05:40:00","18.2 / 2022/12/10 06:29:00"
"11","12.7 / 2022/01/11 12:42:00","17.0 / 2022/02/11 00:01:00","16.6 / 2022/03/11 05:30:00","23.1 / 2022/04/11 05:46:00","23.3 / 2022/05/11 07:32:00","23.5 / 2022/06/11 19:12:00","28.1 / 2022/07/11 05:17:00","27.6 / 2022/08/11 05:49:00","24.6 / 2022/09/11 07:07:00","20.1 / 2022/10/11 10:45:00","24.1 / 2022/11/11 04:37:00","16.0 / 2022/12/11 22:13:00"
"12","12.0 / 2022/01/12 05:54:00","17.8 / 2022/02/12 05:02:00","19.5 / 2022/03/12 04:42:00","23.0 / 2022/04/12 05:25:00","23.4 / 2022/05/12 05:14:00","23.0 / 2022/06/12 02:56:00","28.5 / 2022/07/12 05:34:00","28.0 / 2022/08/12 05:39:00","24.9 / 2022/09/12 03:03:00","20.9 / 2022/10/12 06:10:00","22.8 / 2022/11/12 05:04:00","15.5 / 2022/12/12 02:27:00"
"13","13.2 / 2022/01/13 23:29:00","15.5 / 2022/02/13 23:46:00","20.2 / 2022/03/13 06:04:00","23.5 / 2022/04/13 04:40:00","23.2 / 2022/05/13 05:24:00","23.7 / 2022/06/13 04:24:00","28.4 / 2022/07/13 05:07:00","27.1 / 2022/08/13 05:40:00","24.1 / 2022/09/13 23:57:00","21.5 / 2022/10/13 02:26:00","22.6 / 2022/11/13 03:55:00","14.9 / 2022/12/13 23:29:00"
"14","12.8 / 2022/01/14 03:51:00","14.0 / 2022/02/14 12:19:00","20.1 / 2022/03/14 05:43:00","20.1 / 2022/04/14 22:17:00","21.1 / 2022/05/14 23:30:00","25.3 / 2022/06/14 23:59:59","27.6 / 2022/07/14 04:59:00","28.1 / 2022/08/14 06:01:00","23.7 / 2022/09/14 00:53:00","22.1 / 2022/10/14 04:40:00","22.9 / 2022/11/14 06:24:00","14.0 / 2022/12/14 06:54:00"
"15","14.9 / 2022/01/15 05:05:00","15.8 / 2022/02/15 03:16:00","19.6 / 2022/03/15 05:57:00","18.3 / 2022/04/15 21:40:00","17.6 / 2022/05/15 20:59:00","25.1 / 2022/06/15 15:58:00","28.1 / 2022/07/15 03:45:00","28.6 / 2022/08/15 04:24:00","24.7 / 2022/09/15 05:10:00","23.7 / 2022/10/15 06:24:00","22.9 / 2022/11/15 06:28:00","14.3 / 2022/12/15 04:03:00"
"16","14.8 / 2022/01/16 05:21:00","15.8 / 2022/02/16 02:24:00","22.4 / 2022/03/16 02:44:00","17.4 / 2022/04/16 03:01:00","16.9 / 2022/05/16 05:23:00","23.8 / 2022/06/16 09:42:00","27.2 / 2022/07/16 05:15:00","27.8 / 2022/08/16 05:42:00","23.8 / 2022/09/16 04:20:00","24.6 / 2022/10/16 23:13:00","22.4 / 2022/11/16 06:27:00","17.9 / 2022/12/16 19:09:00"
"17","15.8 / 2022/01/17 23:41:00","16.2 / 2022/02/17 20:38:00","22.2 / 2022/03/17 23:33:00","16.1 / 2022/04/17 03:20:00","17.1 / 2022/05/17 00:01:00","24.6 / 2022/06/17 03:07:00","28.4 / 2022/07/17 05:05:00","27.8 / 2022/08/17 05:32:00","24.0 / 2022/09/17 05:11:00","19.7 / 2022/10/17 23:53:00","21.5 / 2022/11/17 03:59:00","11.4 / 2022/12/17 20:52:00"
"18","15.5 / 2022/01/18 03:14:00","15.6 / 2022/02/18 06:21:00","18.0 / 2022/03/18 19:13:00","18.5 / 2022/04/18 18:51:00","20.8 / 2022/05/18 01:44:00","25.9 / 2022/06/18 04:57:00","28.5 / 2022/07/18 04:42:00","27.7 / 2022/08/18 05:13:00","23.0 / 2022/09/18 06:18:00","18.6 / 2022/10/18 04:07:00","23.1 / 2022/11/18 06:42:00","9.0 / 2022/12/18 07:41:00"
"19","15.8 / 2022/01/19 01:57:00","12.7 / 2022/02/19 23:31:00","17.3 / 2022/03/19 05:50:00","16.2 / 2022/04/19 06:16:00","23.1 / 2022/05/19 21:08:00","26.3 / 2022/06/19 05:16:00","26.9 / 2022/07/19 16:20:00","28.0 / 2022/08/19 05:43:00","24.3 / 2022/09/19 05:48:00","19.0 / 2022/10/19 00:02:00","23.3 / 2022/11/19 03:22:00","9.7 / 2022/12/19 04:16:00"
"20","15.9 / 2022/01/20 07:10:00","10.3 / 2022/02/20 11:25:00","21.2 / 2022/03/20 05:46:00","16.3 / 2022/04/20 06:20:00","22.7 / 2022/05/20 23:54:00","25.9 / 2022/06/20 05:21:00","26.5 / 2022/07/20 22:55:00","28.4 / 2022/08/20 05:47:00","24.1 / 2022/09/20 23:54:00","21.3 / 2022/10/20 01:35:00","23.7 / 2022/11/20 00:39:00","16.5 / 2022/12/20 00:08:00"
"21","15.6 / 2022/01/21 03:31:00","10.6 / 2022/02/21 02:10:00","20.5 / 2022/03/21 05:35:00","19.3 / 2022/04/21 00:55:00","21.4 / 2022/05/21 23:20:00","26.9 / 2022/06/21 05:54:00","25.7 / 2022/07/21 05:20:00","27.3 / 2022/08/21 05:40:00","22.5 / 2022/09/21 04:48:00","22.3 / 2022/10/21 04:32:00","23.0 / 2022/11/21 03:22:00","12.6 / 2022/12/21 23:48:00"
