
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","T","11.0","0.0","T","6.0","0.0","0.0","69.5","2.0","0.0","15.5","3.5"
"02","T","3.0","0.0","23.0","24.0","0.0","12.5","27.0","31.5","0.0","T","3.0"
"03","0.0","29.0","0.0","10.5","T","0.0","T","0.0","35.0","0.0","0.0","0.5"
"04","T","3.5","0.0","0.0","1.0","0.0","7.5","46.5","37.0","0.0","T","0.0"
"05","0.5","0.5","0.0","0.0","T","0.0","46.0","0.0","1.0","14.5","T","T"
"06","8.0","T","T","T","T","15.5","0.0","0.0","3.0","1.0","T","0.5"
"07","5.0","6.5","21.5","0.0","0.0","49.5","3.0","T","0.0","13.5","T","2.5"
"08","T","0.5","0.0","T","T","47.0","0.0","0.0","0.0","0.5","2.0","6.0"
"09","T","11.0","0.0","0.0","T","7.0","0.0","0.0","0.0","1.0","0.0","5.0"
"10","T","0.5","0.0","0.0","4.5","2.5","T","0.0","0.0","1.5","0.0","2.0"
"11","6.0","0.0","0.0","T","13.0","1.5","0.0","T","33.0","T","T","10.0"
"12","T","T","0.0","0.0","40.0","11.0","0.0","T","47.0","1.5","0.0","1.5"
"13","0.5","14.0","0.0","0.0","4.5","0.0","0.0","0.0","26.0","0.5","0.0","8.0"
"14","0.0","38.5","0.0","57.0","27.0","1.0","0.0","T","25.0","9.0","0.0","2.5"
"15","T","0.5","0.0","T","15.0","8.5","0.0","8.0","7.5","19.0","0.0","16.5"
"16","T","0.5","0.0","T","43.5","6.5","0.0","1.5","0.0","257.0","T","10.0"
"17","6.0","1.0","4.0","T","8.5","0.0","0.0","0.0","0.0","4.5","0.0","12.5"
"18","3.0","7.0","0.5","T","0.0","0.0","7.0","T","1.0","T","0.0","T"
"19","0.5","15.0","0.0","4.0","0.5","0.0","3.0","T","0.0","T","0.0","0.0"
"20","T","27.0","0.0","2.5","0.0","0.0","27.5","0.0","0.0","0.0","T","0.0"
"21","32.5","26.5","2.5","T","1.5","0.0","0.0","0.0","0.0","1.0","T","T"
"22","44.5","22.0","4.0","0.0","0.5","T","0.0","0.0","0.0","17.5","0.0","0.0"
"23","T","34.0","21.5","T","T","1.0","0.0","0.0","0.0","4.0","6.5","0.0"
"24","3.5","0.5","T","5.5","50.5","47.5","0.0","9.5","2.0","0.0","67.0","0.0"
"25","0.0","0.0","0.5","6.0","123.5","18.5","0.0","45.5","3.0","0.0","28.5","0.0"
"26","0.0","0.0","14.5","0.0","68.5","4.0","0.0","0.0","2.0","0.0","T","0.0"
"27","0.0","0.0","42.0","T","45.0","13.5","0.0","0.0","0.0","0.5","0.0","0.0"
"28","T","0.0","75.0","0.0","0.5","0.0","1.5","9.5","0.0","11.0","0.0","T"
"29","5.5","--","11.5","0.0","0.0","0.0","13.5","0.0","0.0","3.0","T","5.5"
"30","6.5","--","0.0","T","0.0","0.0","0.5","0.5","0.0","45.0","T","0.5"
"31","T","--","0.0","--","8.5","--","0.0","1.0","--","44.0","--","0.5"
"總和","122.0","252.0","197.5","108.5","486.0","234.5","122.0","218.5","256.0","449.5","119.5","90.5"
