year,day_of_year,special_avg,smooth_14day
1996,1,21.556860526881806,21.556860526881806
1997,1,27.337237483175088,27.337237483175088
1999,1,30.52673275492659,30.52673275492659
2001,1,30.43252420543109,30.43252420543109
2002,1,27.614063994334433,27.614063994334433
2003,1,27.895347136715642,27.895347136715642
2004,1,35.30867162222589,35.30867162222589
2005,1,49.079451814146864,49.079451814146864
2006,1,38.90058518119605,38.90058518119605
2008,1,48.70808318310431,48.70808318310431
2009,1,38.397776332022175,38.397776332022175
2010,1,40.60686130021457,40.60686130021457
2011,1,46.30686728612033,46.30686728612033
2012,1,54.48617225797353,54.48617225797353
2013,1,50.567775460613035,50.567775460613035
2014,1,49.01928459722413,49.01928459722413
2015,1,51.996406065095975,51.996406065095975
2016,1,68.93335185490686,68.93335185490686
2017,1,52.1075857230124,52.1075857230124
2019,1,51.281684631145524,51.281684631145524
2020,1,48.29807225253223,48.29807225253223
2021,1,54.93146340388127,54.93146340388127
2022,1,69.01977838817474,69.01977838817474
2023,1,63.414362257523194,63.414362257523194
2025,1,90.19918747817486,90.19918747817486
1996,2,22.49067491751816,22.023767722199985
1997,2,28.521450078984138,27.929343781079613
1998,2,38.62633710958275,38.62633710958275
1999,2,31.84911002364402,31.187921389285307
2000,2,41.575676520326624,41.575676520326624
2001,2,31.750820485679434,31.09167234555526
2002,2,28.81026834467137,28.2121661695029
2003,2,29.103736296889405,28.499541716802526
2004,2,36.83819609235787,36.073433857291874
2005,2,51.20550807968894,50.1424799469179
2007,2,44.44986325154375,44.44986325154375
2008,2,50.81805225582598,49.76306771946514
2009,2,40.06111669007499,39.22944651104858
2010,2,42.36589626699133,41.486378783602945
2011,2,48.31281889503589,47.30984309057811
2013,2,52.75830391760718,51.66303968911011
2014,2,51.14273449933324,50.081009548278686
2015,2,54.24882089073392,53.122613477914946
2016,2,71.91945253856807,70.42640219673746
2018,2,51.43716905549447,51.43716905549447
2019,2,53.503138679378665,52.392411655262094
2020,2,50.3902801996573,49.34417622609476
2021,2,57.31102099118818,56.12124219753473
2022,2,72.00962295376151,70.51470067096812
2024,2,76.19265316388105,76.19265316388105
2025,2,94.10649574255736,92.15284161036611
1996,3,22.730137646029608,22.259224363476523
1997,3,28.82512368069081,28.227937080950014
1998,3,39.03759947100967,38.83196829029621
1999,3,32.188213888463245,31.521352222344618
2000,3,42.01834109023298,41.7970088052798
2001,3,32.088877842066545,31.42407417772569
2002,3,29.117017052403053,28.51378313046962
2003,3,29.413609616791533,28.804231016798862
2004,3,37.230419757591,36.45909582405825
2006,3,41.017830707632605,39.95920794441433
2007,3,44.92312986427154,44.686496557907645
2008,3,51.3591222546342,50.295085897854825
2009,3,40.48765543757824,39.64884948655847
2010,3,42.81697446509487,41.92991067743359
2012,3,57.45169588515047,55.968934071562
2013,3,53.32003216516217,52.215370514460794
2014,3,51.687261455134276,50.616426850563876
2015,3,54.8264189715681,53.69054864246599
2016,3,72.68519338009884,71.17933259119125
2017,3,54.94364981437693,53.525617768694666
2018,3,51.98483091509208,51.71099998529328
2019,3,54.072797332090374,52.95254021420485
2020,3,50.92679562355272,49.871716025247416
2021,3,57.9212229309102,56.721235775326555
2023,3,66.86582125682045,65.14009175717183
2024,3,77.00389162987025,76.59827239687564
2025,3,95.10846648482314,93.13804990185179
1998,4,39.973114119921995,39.2123502335048
2000,4,43.02528757632773,42.206435062295775
2002,4,29.81479038770718,28.83903494477901
2003,4,30.11849063014205,29.132795920134658
2004,4,38.122626336385544,36.87497845214008
2005,4,52.99088060643978,51.0919468334252
2006,4,42.00080051145194,40.63973880009353
2007,4,45.99968801929401,45.124227045036434
2008,4,52.5899154354539,50.8687932822546
2009,4,41.457919881991565,40.101117085416746
2011,4,49.99733258857934,48.20567292324518
2012,4,58.82849424964335,56.922120797589116
2013,4,54.597817475911846,52.81098225482356
2014,4,52.92591831182313,51.1937997158787
2015,4,56.140304015483174,54.302987485720294
2017,4,56.26034423110791,54.43719325616575
2018,4,53.230618860593566,52.21753961039337
2019,4,55.36862224697542,53.55656072239749
2020,4,52.147228333903634,50.44059410241147
2022,4,74.52036852205572,71.84992328799733
2023,4,68.46822396971683,66.24946916135349
2024,4,78.84924763585362,77.34859747653498
2025,4,97.38768869207524,94.20045959940765
1996,5,22.452567827522635,22.307560229488054
1997,5,28.47312474108527,28.289233995983828
1998,5,38.5608905496271,39.04948531253538
1999,5,31.7951464629061,31.58980078248499
2000,5,41.505232745180024,42.03113448301684
2001,5,31.697023461885493,31.49231149876564
2002,5,28.761453647352063,28.823518685293617
2003,5,29.054424361950197,29.11712160849776
2005,5,51.118747993039015,51.09864712332865
2006,5,40.516940127805604,40.60903913202155
2007,5,44.37454959619872,44.93680768282701
2008,5,50.731948655208754,50.84142435684542
2010,5,42.294113582491725,42.020961403698124
2011,5,48.23096003822868,48.21199470199106
2012,5,56.75012262377849,56.87912125413646
2013,5,52.66891285029717,52.782568373918274
2014,5,51.056080773140906,51.166255927331136
2016,5,71.79759576635617,71.33389838498249
2017,5,54.27270363954146,54.39607085200967
2018,5,51.350016453916204,52.00065882127408
2019,5,53.41248560079497,53.52774569807699
2020,5,50.304901394907766,50.41345556091073
2021,5,57.21391602467846,56.844405837664524
2022,5,71.88761340124668,71.85934581630966
2023,5,66.0492870958926,66.19942364498827
2024,5,76.06355609134934,77.02733713023856
2025,5,93.94704633894557,94.14977694731525
1996,6,21.601641835220935,22.16637655063463
1997,6,27.394026701593393,28.11019253710574
1998,6,37.099478015121505,38.659483853052606
1999,6,30.590147695630957,31.389870165114182
2000,6,39.93223309406162,41.611354205225794
2001,6,30.495743441287903,31.292997887270094
2002,6,27.67142828041332,28.631503617813568
2004,6,35.38202036004363,36.57638683372079
2005,6,49.181407387040416,50.715199176071
2006,6,38.981395607992624,40.28351042721577
2007,6,42.69280620104904,44.48800738647141
2008,6,48.809267290544746,50.502731512461985
2009,6,38.47754224502778,39.77640211733895
2010,6,40.69121627269776,41.755012377498055
2011,6,46.40306320943546,47.85020840347994
2012,6,54.599359522745246,56.42316890785821
2013,6,50.67282281396496,52.43094411392607
2015,6,52.10442119511103,53.86327422759844
2016,6,69.07655107820817,70.88242892362761
2017,6,52.215831812936294,53.960023044195
2018,6,49.40391104444071,51.481309265907406
2019,6,51.38821502914821,53.17115725325553
2021,6,55.04557569760517,56.48463980965265
2022,6,69.16315715029295,71.32010808310632
2023,6,63.54609656576544,65.6687582291437
2024,6,73.18083650924046,76.25803700603895
1997,7,28.065300594732975,28.10271054671028
1998,7,38.00857806499509,38.55099955504302
1999,7,31.33974058166573,31.38151523453944
2000,7,40.910748077010396,41.494586517189894
2001,7,31.243023008728365,31.28466874084647
2003,7,28.63827418802594,29.037313705085793
2004,7,36.24903515903443,36.52182822127306
2005,7,50.38656773701051,50.66042726956092
2006,7,39.936610899079035,40.22569383919298
2007,7,43.73896734193618,44.36316737904887
2009,7,39.42041091718834,39.71707025064718
2010,7,41.68832967488225,41.74389859372875
2011,7,47.540141932235564,47.79853065827254
2012,7,55.93728348073091,56.34218800333699
2014,7,50.324798107583824,51.02601295737325
2015,7,53.381208213187215,53.78292989186323
2016,7,70.76922977316713,70.86356239855087
2017,7,53.4953488801571,53.88257735018868
2018,7,50.614523710639006,51.336845006696
2020,7,49.58437796605095,50.27527596176743
2021,7,56.394433910424674,56.46960549311466
2022,7,70.8579580741528,71.24308308161407
2023,7,65.10325485067884,65.57450766606622
2024,7,74.9740882119524,76.04404554035786
2025,7,92.60143097976389,93.89171928605668
1996,8,21.86554022633097,22.116237163250688
1997,8,27.72868828091783,28.049278794454214
1999,8,30.96385497317377,31.321849482915773
2000,8,40.42006879411345,41.34108398532184
2001,8,30.868297420807117,31.225187123697992
2002,8,28.009478760956487,28.542642923976842
2003,8,28.29478968816945,28.931238845526316
2004,8,35.81426797892665,36.42074818665215
2005,8,49.782236452764735,50.53497143859004
2006,8,39.457615316783475,40.11596833599162
2008,8,49.40555007346881,50.34599130689153
2009,8,38.94760658410848,39.60714686971308
2010,8,41.188324158690335,41.66453081729469
2011,8,46.969950384815846,47.68016204777873
2012,8,55.26637748571313,56.188500786533595
2013,8,51.29187188975354,52.26821951047284
2014,8,49.72120768188737,50.839612203732415
2015,8,52.74095952066969,53.63407698169273
2016,8,69.92043094771175,70.72882933414529
2017,8,52.85373119628033,53.73559932820177
2019,8,52.01600375797055,53.006135325357675
2020,8,48.989668062984045,50.09161769051267
2021,8,55.71804490041543,56.36223969415762
2022,8,70.00809505062853,71.0666562200447
2023,8,64.3224131426696,65.39563701986671
2025,8,91.49077899014858,93.54872781521267
1996,9,21.4253434967641,22.017538068038316
1997,9,27.170454742203773,27.93942578792291
1998,9,36.79669657000849,38.300384842895234
1999,9,30.3404911068852,31.19917968591195
2001,9,30.246857317736914,31.10289589795286
2002,9,27.445592352488145,28.405511602540756
2003,9,27.725159404371762,28.780478915381998
2004,9,35.093255670382355,36.254811622118424
2005,9,48.780021211330066,50.31560266018254
2007,9,42.34437570420446,44.074768568356816
2008,9,48.41091827660135,50.10410717810525
2009,9,38.1635139495192,39.426692754688844
2010,9,40.359121431324745,41.50135464404845
2011,9,46.02435204453722,47.47318579737354
2013,9,50.25926469022764,52.017100157942195
2014,9,48.72022107075736,50.57468831211053
2015,9,51.67917931058095,53.38971477280376
2016,9,68.5127938751996,70.45182490177707
2018,9,49.0007089407838,51.00311128299426
2019,9,50.96881834647894,52.751470702997835
2020,9,48.003408796546026,49.830591578766835
2021,9,54.59633005188463,56.1415009888735
2022,9,68.59869312570456,70.75816083325219
2024,9,72.58358283834473,75.54969372578455
2025,9,89.64888799271098,93.06124783739995
1996,10,21.43164962882866,21.944302013137108
1997,10,27.17845183573389,27.854873126568574
1998,10,36.80752696010913,38.113777607546965
1999,10,30.34942123880362,31.104762080677695
2000,10,39.61798992395396,41.125697227650846
2001,10,30.25575989037536,31.00876967488869
2002,10,27.453670427408674,28.299751471970524
2003,10,27.73331976440246,28.66412789860649
2004,10,35.10358468587124,36.126897518090956
2006,10,38.674634969231896,39.935801665146656
2007,10,42.35683894547862,43.86002736549704
2008,10,48.425167086384256,49.917558279025144
2009,10,38.174746635662586,39.28758763035259
2010,10,40.371000351716106,41.37575972267819
2012,10,54.169694700799006,55.936150025816765
2013,10,50.27405752473469,51.82342875425247
2014,10,48.73456091778633,50.37022971274118
2015,10,51.694390069268195,53.20134536129981
2016,10,68.53295928007886,70.23861761047728
2017,10,51.8049239511081,53.49426490606507
2018,10,49.01513134394781,50.754613790613455
2019,10,50.983820024268425,52.5550650720279
2020,10,48.017537663859905,49.629141143777176
2021,10,54.6123994170082,55.9716008142218
2023,10,63.04602618939163,65.10193566605733
2024,10,72.60494640057497,75.18160031013335
2025,10,89.67527439474036,92.68502856599333
1996,11,21.418098824596246,21.885834992188123
1998,11,36.784254295580084,37.96605279510621
1999,11,30.33023190560265,31.02730906317019
2000,11,39.592940259796556,40.95539089788926
2002,11,27.436312019639512,28.21340752673742
2003,11,27.715784539939996,28.56929356273984
2004,11,35.08138939002736,36.0223467052846
2005,11,48.76352694779257,50.143149803250324
2006,11,38.65018176958071,39.79295501008377
2007,11,42.330057561759006,43.69003072063726
2008,11,48.39454881991975,49.765257333114604
2009,11,38.15060950542573,39.17388981785991
2011,11,46.008789570948366,47.31047510554853
2012,11,54.135444284198655,55.736071610081424
2013,11,50.24227024175436,51.66531290300266
2014,11,48.703747027778476,50.203581444244904
2015,11,51.66170473837325,53.04738129900714
2017,11,51.7721687318462,53.30292088670742
2018,11,48.98414005486036,50.55789448664089
2019,11,50.951583972628235,52.394716962087934
2020,11,47.98717713334198,49.46494474273366
2022,11,68.57549746291792,70.51564268099281
2023,11,63.00616344558423,64.86907208600476
2024,11,72.55903974233736,74.89020469148936
2025,11,89.61857450887732,92.37838316028173
1996,12,21.31038237656098,21.828289730625407
1997,12,27.024667305280598,27.771852544439774
1998,12,36.59925798714044,37.82937331430962
2000,12,39.393818436380556,40.79923365173839
2001,12,30.084562948902356,30.916349002290058
2002,12,27.2983286205458,28.130218535265456
2003,12,27.57639561053023,28.479030112538968
2005,12,48.51828417627001,49.98066324055229
2006,12,38.455801291171696,39.65923963819257
2007,12,42.1171701583054,43.53274466440407
2008,12,48.15116172259416,49.61852136852183
2010,12,40.142568085943864,41.252440559004754
2011,12,45.77740099479271,47.15716769447294
2012,12,53.86318492920827,55.548782941994105
2013,12,49.98959053680059,51.512974506075196
2014,12,48.45880490295198,50.044965395036456
2016,12,68.14517748046933,70.02927359747648
2017,12,51.51179482244614,53.12380828028129
2018,12,48.73778777028167,50.37588381500497
2019,12,50.69533696899599,52.240227871806844
2020,12,47.745838800076534,49.30866238431028
2021,12,54.303384677977704,55.80477920059739
2022,12,68.23061582475525,70.28713999536907
2023,12,62.68929124388844,64.65109400179313
2024,12,72.19412397189939,74.62059661953035
1996,13,20.250072888951337,21.684815472291405
1997,13,25.680040510840726,27.58168781411259
1998,13,34.77824230579252,37.5519977680808
1999,13,28.67618698826455,30.813570692724223
2000,13,37.43375790329468,40.49328131097078
2001,13,28.58768940803169,30.704652675539297
2002,13,25.94008566080959,27.947707462394135
2004,13,33.168242336146285,35.762882671726565
2005,13,46.10423096382166,49.62826030630406
2006,13,36.54241230348706,39.37589169867388
2007,13,40.02160780184394,43.213550404171336
