年份,颱風編號,颱風名稱,颱風生命期間,颱風生命期間中心最低氣壓(hPa),颱風生命期間中心最大風速(m/s),颱風生命期間最大7級風暴風半徑(km),颱風生命期間最大10級風暴風半徑(km),警報發布報數
2024,202426,帕布(PABUK),2024-12-23 06:00~2024-12-25 00:00,1000,18,80,---,---
2024,202425,天兔(USAGI),2024-11-11 18:00~2024-11-16 03:00,945,45,150,50,19
2024,202424,萬宜(MAN-YI),2024-11-09 06:00~2024-11-20 00:00,900,60,180,90,---
2024,202423,桔梗(TORAJI),2024-11-09 06:00~2024-11-14 06:00,965,38,150,50,---
2024,202422,銀杏(YINXING),2024-11-03 18:00~2024-11-12 06:00,930,51,180,90,---
2024,202421,康芮(KONG-REY),2024-10-25 00:00~2024-11-01 12:00,915,53,320,150,24
2024,202420,潭美(TRAMI),2024-10-21 18:00~2024-10-28 00:00,975,30,250,80,---
2024,202419,百里嘉(BARIJAT),2024-10-09 06:00~2024-10-11 00:00,988,20,50,---,---
2024,202418,山陀兒(KRATHON),2024-09-28 00:00~2024-10-03 21:00,910,55,220,80,40
2024,202417,燕子(JEBI),2024-09-27 06:00~2024-10-02 12:00,972,33,150,60,---
2024,202416,西馬隆(CIMARON),2024-09-25 06:00~2024-09-26 06:00,998,18,100,---,---
2024,202415,蘇力(SOULIK),2024-09-19 00:00~2024-09-19 18:00,992,20,100,---,---
2024,202414,葡萄桑(PULASAN),2024-09-15 12:00~2024-09-21 06:00,988,23,150,---,---
2024,202413,貝碧佳(BEBINCA),2024-09-10 12:00~2024-09-17 00:00,965,35,200,70,---
2024,202412,麗琵(LEEPI),2024-09-05 06:00~2024-09-07 00:00,1000,20,80,---,---
2024,202411,摩羯(YAGI),2024-09-01 12:00~2024-09-08 06:00,905,58,250,130,---
2024,202410,珊珊(SHANSHAN),2024-08-21 18:00~2024-08-31 00:00,935,48,280,150,---
2024,202409,雲雀(JONGDARI),2024-08-18 18:00~2024-08-20 12:00,998,18,100,---,---
2024,202408,悟空(WUKONG),2024-08-13 06:00~2024-08-15 00:00,998,18,80,---,---
2024,202407,安比(AMPIL),2024-08-12 18:00~2024-08-19 00:00,940,45,280,120,---
2024,202406,山神(SON-TINH),2024-08-11 12:00~2024-08-13 12:00,998,18,100,---,---
2024,202405,瑪莉亞(MARIA),2024-08-07 18:00~2024-08-12 18:00,978,30,180,60,---
2024,202404,巴比侖(PRAPIROON),2024-07-21 06:00~2024-07-23 12:00,985,25,100,---,---
2024,202403,凱米(GAEMI),2024-07-20 06:00~2024-07-27 00:00,920,53,250,90,28
2024,202402,馬力斯(MALIKSI),2024-05-31 06:00~2024-06-01 00:00,998,18,100,---,---
2024,202401,艾維尼(EWINIAR),2024-05-26 00:00~2024-05-30 18:00,965,35,120,50,---
2023,202317,鯉魚(JELAWAT),2023-12-17 00:00~2023-12-18 00:00,1000,20,100,---,---
2023,202316,三巴(SANBA),2023-10-18 06:00~2023-10-20 12:00,1000,18,80,---,---
2023,202315,布拉萬(BOLAVEN),2023-10-07 06:00~2023-10-14 12:00,900,58,280,130,---
2023,202314,小犬(KOINU),2023-09-29 18:00~2023-10-09 12:00,930,48,250,90,29
2023,202313,鴛鴦(YUN-YEUNG),2023-09-05 12:00~2023-09-08 12:00,995,20,80,---,---
2023,202312,鴻雁(KIROGI),2023-08-30 12:00~2023-09-03 06:00,985,25,100,---,---
2023,202311,海葵(HAIKUI),2023-08-28 00:00~2023-09-05 00:00,945,43,180,60,29
2023,202310,丹瑞(DAMREY),2023-08-24 18:00~2023-08-29 06:00,985,25,180,---,---
2023,202309,蘇拉(SAOLA),2023-08-24 06:00~2023-09-02 18:00,915,53,200,80,22
