日期,上價,中價,下價,平均價,增減%,交易量(公斤),增減%
085/01/01,18,13,8,13.2,  -  ,"1,645",  -  
085/01/02,14.4,13,12.6,12.7,-4,"2,400",46
085/01/03,13.9,11.8,10,11.8,-7,"2,835",18
085/01/05,17,12,7,13.3,  -  ,"1,955",  -  
085/01/06,17,12,7,13.5,2,"3,213",64
085/01/08,20,15,10,13.6,  -  ,"2,675",  -  
085/01/09,15.1,12.9,9.9,12.8,-6,"2,361",-12
085/01/10,20,15,8,3,-77,50,-98
085/01/11,18,13,8,12.3,310,"2,056", +***
085/01/12,15,10,5,13.1,7,"1,830",-11
085/01/13,16,12,8,13.5,3,"2,582",41
085/01/14,20,13,5,14.8,10,"3,135",21
085/01/15,5,5,5,5,-66,75,-98
085/01/16,14.9,13,13,13.3,166,"2,775", +***
085/01/17,18,12,5,13.4,1,"2,508",-10
085/01/19,14.4,12,11.7,12.4,  -  ,"1,795",  -  
085/01/20,20,15,10,13.3,7,"2,248",25
085/01/21,20,15,8,12.5,-6,"3,740",66
085/01/23,13.3,12,11.7,12.2,  -  ,"4,038",  -  
085/01/24,20,15,10,11.5,-6,"3,669",-9
085/01/25,14,12,12,12.4,8,"3,390",-8
085/01/26,15,13.8,10,13.3,7,120,-96
085/01/27,14.2,10,9.4,10.7,-20,"3,761", +***
085/01/28,15.3,10.4,9.7,11.3,6,"2,980",-21
085/01/30,18,12,6,12.3,  -  ,"2,300",  -  
085/01/31,10.8,10,9.9,10.1,-18,"4,355",89
085/02/01,8,6.5,5,6.5,-36,80,-98
085/02/02,15,10,5,9.9,52,"2,925", +***
085/02/03,11.9,10,7.2,9.8,-1,"2,445",-16
085/02/04,15,10,5,10.2,4,"3,979",63
085/02/06,10.9,10,9.6,10.1,  -  ,"2,883",  -  
085/02/07,10.7,10,9.7,10,-1,"3,275",14
085/02/09,11.9,9.8,5.4,9.3,  -  ,"2,125",  -  
085/02/10,15,10,5,10.1,9,"2,063",-3
085/02/11,12.2,10,10,10.4,3,"2,243",9
085/02/12,15,10,5,10.3,-1,"2,260",1
085/02/13,12.3,10,10,10.4,1,"2,050",-9
